Frame number,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First frame,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point frequency,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog frequency,1500,,,,,XZ - sagittal plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Left_Foot Strike1,0.05,,,heel strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right_Foot Off,0.25,1.66,,toe off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right_Foot Strike1,0.75,,,heel strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Left_Foot Off,1,,,toe off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Left_Foot Strike2,1.39,,,heel strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right_Foot Strike2,2.1,,,toe off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,heel strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,L_FTC,,,L_FCC,,,L_FM1,,,L_FM2,,,L_FM5,,,R_FTC,,,R_FCC,,,R_FM1,,,R_FM2,,,R_FM5,,,L_knee,,,R_knee,,,L_ankle,,,R_ankle,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,1374.25,107.007,884.313,1126.64,214.796,23.7678,931.789,217.069,86.0534,942.642,154.51,89.5755,983.952,119.066,54.433,1423.93,447.706,892.753,1668.94,281.473,48.9697,1463.65,277.395,30.2751,1469.41,334.277,37.6715,1531.78,383.955,25.7747,1203.8,176.785,486.257,1452.54,342.304,474.861,1086.05,202.568,100.325,1597.02,291.314,96.9371
0.01,1364.25,106.404,882.987,1113.48,215.981,23.3202,919.118,218.675,87.3873,929.805,156.064,90.4556,970.65,120.743,54.7494,1415.7,446.866,891.866,1668.62,281.655,51.4077,1463.66,277.563,30.458,1469.31,334.427,37.6588,1531.77,383.935,25.828,1196.18,177.203,484.555,1446.21,342.427,474.348,1073.65,203.635,100.076,1596.04,291.53,98.3955
0.02,1354.11,105.714,881.835,1102.54,217.113,22.8976,908.301,220.131,87.4056,918.845,157.483,90.2018,959.511,122.296,54.278,1407.3,445.971,891,1668.26,281.942,54.1011,1463.66,277.752,30.6695,1469.19,334.59,37.6685,1531.74,383.903,25.922,1188.13,177.536,483.141,1439.65,342.516,473.867,1062.95,204.734,99.5259,1595.01,291.823,100.032
0.03,1343.8,104.939,880.894,1093.71,218.148,22.4823,899.227,221.445,86.0758,909.633,158.766,88.7923,950.417,123.694,53.011,1398.7,445.023,890.159,1667.85,282.351,57.06,1463.66,277.965,30.8989,1469.05,334.774,37.6958,1531.68,383.865,26.0573,1179.66,177.79,482.028,1432.88,342.563,473.441,1053.86,205.843,98.6674,1593.9,292.21,101.858
0.04,1333.33,104.084,880.201,1086.84,219.05,22.0818,891.749,222.626,83.4422,902.001,159.918,86.2764,943.199,124.905,51.0024,1389.86,444.028,889.35,1667.38,282.892,60.294,1463.64,278.202,31.1305,1468.89,334.981,37.7321,1531.57,383.828,26.233,1170.77,177.971,481.223,1425.9,342.564,473.09,1046.23,206.936,97.5265,1592.72,292.706,103.884
0.05,1322.67,103.152,879.784,1081.68,219.794,21.7213,885.692,223.685,79.6249,895.753,160.945,82.773,937.646,125.902,48.3625,1380.76,442.992,888.581,1666.8,283.567,63.8132,1463.61,278.46,31.3439,1468.71,335.213,37.7661,1531.41,383.8,26.448,1161.51,178.085,480.722,1418.72,342.511,472.832,1039.88,207.99,96.1583,1591.44,293.321,106.121
